municipio,populacaoAtendida,produzida,tratada,consumido
220005,1563,78.59,78.59,45.91
220025,3316,198.73,0,105.86
220027,4832,56.5,0,56.5
220045,3954,450,19,432
220070,6086,346.51,0,196.67
220090,4192,282.41,0,149.99
220095,NA,NA,NA,NA
220105,3378,398.7,0,398.7
220110,7873,578.37,578.37,286.85
220155,NA,NA,NA,NA
220157,2148,111.58,111.58,64.91
220170,4804,361.5,0,201.01
220173,NA,NA,NA,NA
220180,2355,169.43,0,90.94
220190,23447,1993.79,0,1088.37
220192,1436,89.43,89.43,46.94
220198,2033,136.04,0,72.45
220202,5598,1314,0,1128
220207,NA,NA,NA,NA
220209,NA,NA,NA,NA
220210,2259,165.12,0,85.33
220211,NA,NA,NA,NA
220213,2810,169.26,0,91.79
220225,2064,137.1,0,85.47
220230,13866,1147.07,0,600.45
220245,1201,135.9,0,120.9
220250,3109,193.18,0,99.16
220255,2127,105.55,0,60.52
220260,13278,902.82,0,463.4
220275,2357,171.71,0,90.45
220277,3348,235.89,0,125.52
220280,3245,248.26,0,127.7
220285,2460,163.01,163.01,84.98
220310,7883,523.94,0,285.86
220320,9547,696,561.78,347.33
220323,NA,NA,NA,NA
220327,1585,81.02,0,43.88
220335,2516,143.4,143.4,74.21
220340,4437,238.64,0,176.02
220342,1297,92.3,0,47.5
220345,NA,NA,NA,NA
220360,4638,371.73,0,191.64
220375,NA,NA,NA,NA
220380,2504,153.08,0,100.9
220385,NA,NA,NA,NA
220415,NA,NA,NA,NA
220420,4088,241.53,0,123.75
220430,9126,514.78,514.78,323.54
220435,NA,NA,NA,NA
220455,2340,136.2,0,70.95
220470,9923,614.95,0,351.85
220480,6228,417.14,0,216.76
220490,2749,206.19,0,106.09
220500,3834,285.66,0,149.66
220510,8119,537.98,0,288.44
220515,2608,166.92,0,88.28
220520,8856,366.42,366.42,198.81
220535,2300,1500,0,900
220551,1851,122.68,0,64.37
220552,2133,129.98,0,79.12
220553,2525,155.01,0,78.94
220556,NA,NA,NA,NA
220557,NA,NA,NA,NA
220559,NA,NA,NA,NA
220590,3971,286.77,0,146.93
220595,NA,NA,NA,NA
220605,NA,NA,NA,NA
220635,4758,140,0,140
