municipio,tratado
220005,NA
220025,NA
220027,NA
220045,NA
220070,NA
220090,NA
220095,NA
220105,NA
220110,NA
220155,NA
220157,NA
220170,NA
220173,NA
220180,NA
220190,NA
220192,NA
220198,NA
220202,NA
220207,NA
220209,NA
220210,NA
220211,NA
220213,0
220225,NA
220230,NA
220245,NA
220250,NA
220255,NA
220260,NA
220275,NA
220277,NA
220280,NA
220285,NA
220310,NA
220320,NA
220323,NA
220327,NA
220335,NA
220340,NA
220342,NA
220345,NA
220360,NA
220375,NA
220380,NA
220385,NA
220415,NA
220420,NA
220430,NA
220435,NA
220455,NA
220470,0
220480,NA
220490,NA
220500,NA
220510,NA
220515,NA
220520,NA
220535,0
220551,NA
220552,NA
220553,NA
220556,NA
220557,NA
220559,NA
220590,NA
220595,NA
220605,NA
220635,NA
220650,NA
220665,NA
220670,NA
220690,NA
220700,302.19
220720,NA
220730,NA
220735,NA
220740,NA
220755,NA
220777,NA
220780,NA
220785,NA
220790,NA
220793,NA
220795,NA
220800,807.18
220810,NA
220820,NA
220830,NA
220865,NA
220870,0
220887,NA
220900,NA
220910,NA
220915,NA
220930,NA
220935,NA
220937,NA
220940,NA
220950,NA
220955,NA
220965,NA
220970,NA
220985,NA
220987,NA
220990,NA
220995,NA
221000,0
221005,NA
221010,NA
221020,NA
221030,NA
221035,NA
221037,NA
221039,NA
221040,NA
221060,NA
221063,NA
221070,NA
221080,NA
221090,NA
221093,NA
221095,NA
221097,NA
221130,NA
221135,NA
221150,NA
221160,NA
221170,NA
230010,NA
230015,86.16
230030,144.55
230040,NA
230050,32.35
230060,16.56
230070,NA
230080,NA
230090,NA
230110,387.68
230120,NA
230125,NA
230130,NA
230140,29.23
230150,NA
230160,NA
230170,57.49
230180,NA
230185,NA
230190,157.01
230195,57.13
230200,37.26
230210,18.56
230240,0
230250,NA
230270,91.78
230280,155.36
230290,NA
230300,NA
230310,NA
230320,NA
230330,NA
230340,NA
230360,43.51
230365,NA
230370,3359.04
230380,25.89
230393,NA
230395,0
230400,57.25
230410,538.77
230420,0
230423,33.1
230426,NA
230427,NA
230430,NA
230435,115.74
230450,40.78
230460,NA
230465,23.01
230480,24.37
230490,30
230500,54.89
230510,36.58
230520,NA
230523,295.93
230526,NA
230530,NA
230533,NA
230535,NA
230540,1395
230550,821.05
230560,77.11
230565,NA
230570,NA
230580,NA
230590,NA
230600,0
230610,NA
230620,NA
230630,0
230640,1213.63
230650,NA
230660,NA
230670,6.38
230680,149.05
230690,329.25
230700,NA
230710,NA
230720,NA
230730,2246.32
230740,240
230750,NA
230760,979.38
230763,NA
230770,238.6
230800,169.35
230810,95.31
230820,NA
230830,NA
